token,token_lower,tb_key,status,match_type
A139E,a139e,object.19352.name,kept_neologism,
ADC,adc,object.12534.name | object.12535.name | object.12536.name | object.12537.name | object.12539.name,kept_neologism,
ANNONCE,annonce,,removed_known_word,dictionary_form
ASCENSION,ascension,,removed_known_word,dictionary_form
ATF,atf,document.479.title,kept_neologism,
Aazimar,aazimar,npc.1967.name | quest.1247.name,kept_neologism,
Abattage,abattage,,removed_known_word,dictionary_form
Abattement,abattement,,removed_known_word,dictionary_form
Abdhoul,abdhoul,npc.1259.name,kept_neologism,
Abdomen-pact,abdomen-pact,spell.7470.name,kept_neologism,
Abdominable,abdominable,object.12775.name,kept_neologism,
Abdomination,abdomination,spell.3492.name,kept_neologism,
Abebeh,abebeh,object.3744.name,kept_neologism,
Abefun,abefun,object.4017.name,kept_neologism,
Abely,abely,npc.63.name,kept_neologism,
Abewolu,abewolu,object.5329.name,kept_neologism,
Abilité,abilité,object.775.name,kept_neologism,
Abipaca,abipaca,object.5828.name,kept_neologism,
Abir,abir,npc.464.name,kept_neologism,
Ablaru,ablaru,npc.964.name,kept_neologism,
Ablation,ablation,,removed_known_word,dictionary_form
Abnégation,abnégation,,removed_known_word,dictionary_form
Aboiement,aboiement,,removed_known_word,dictionary_form
Abolissement,abolissement,,removed_known_word,dictionary_form
Abolition,abolition,,removed_known_word,dictionary_form
Abominable,abominable,,removed_known_word,dictionary_form
Abomination,abomination,,removed_known_word,dictionary_form
Abominioble,abominioble,object.21907.name,kept_neologism,
Abomirol,abomirol,object.3561.name,kept_neologism,
Abondance,abondance,,removed_known_word,dictionary_form
Abordage,abordage,,removed_known_word,dictionary_form
Aboub,aboub,monster.384.name,kept_neologism,
Aboudbra,aboudbra,monster.2384.name,kept_neologism,
Aboum,aboum,"achievement.objective.4071.name | achievement.objective.4423.name, achievement.1379.name, npc.4327.name, achievement.objective.4267.name | npc.1422.name | object.20201.name",kept_neologism,
Abra,abra,document.136.title | monster.817.name | npc.794.name | object.14693.name | object.14701.name | object.8153.name | object.8165.name | object.8171.name | object.8175.name | object.8187.name | object.8318.name | object.8988.name,kept_neologism,
Abrabottes,abrabottes,object.2423.name,kept_neologism,
Abrabranche,abrabranche,spell.485.name,kept_neologism,
Abracapa,abracapa,object.2413.name | object.8464.name,kept_neologism,
Abracape,abracape,object.948.name,kept_neologism,
