game,language,token,token_lower,origin_class,lineage_tags,in_tb_tokens,in_filtered_dic_base,is_corpus_form,is_ghost_form,is_casing_inferred,source_base_words,assigned_flags,mandatory_flags_assigned,validated_flags_assigned,validated_flags_candidates,filter_status,filter_match_type,flag_evidence_summary,step4_related_bases
WAKFU,es,1-2-3,1-2-3,tb_only,tb_filtered_base,True,True,False,False,False,1-2-3,,,,,kept_neologism,,,
WAKFU,es,A-changing,a-changing,tb_only,tb_filtered_base,True,True,False,False,False,A-changing,,,,,kept_neologism,,,
WAKFU,es,Aaarrrggh,aaarrrggh,tb_only,tb_filtered_base,True,True,False,False,False,Aaarrrggh,,,,,kept_neologism,,,
WAKFU,es,AAARRRGGH,aaarrrggh,tb_only,tb_filtered_base,True,True,False,False,False,AAARRRGGH,,,,,kept_neologism,,,
WAKFU,es,Ababor,ababor,tb_only,tb_filtered_base,True,True,False,False,False,Ababor,,,,,kept_neologism,,,
WAKFU,es,Abal,abal,tb_and_corpus,corpus_aff_form | tb_filtered_base,True,True,True,False,False,Abal | Bal,,,,,kept_neologism,,Bal:G:2/2 ; Bal:S:0/1,Bal
WAKFU,es,Abedul's,abedul's,tb_only,tb_filtered_base,True,True,False,False,False,Abedul's,,,,,kept_neologism,,,
WAKFU,es,Abedulus,abedulus,tb_only,tb_filtered_base,True,True,False,False,False,Abedulus,,,,,kept_neologism,,,
WAKFU,es,Abella,abella,tb_and_corpus,corpus_aff_form | tb_filtered_base,True,True,True,False,False,Abella | belle,,,,,kept_neologism,,belle:G:2/2 ; belle:S:0/1,belle
WAKFU,es,abo,abo,tb_and_corpus,corpus_aff_form | tb_filtered_base,True,True,True,False,False,Bir | abo,,,,,kept_neologism,,Bir:G:0/2 ; Bir:S:0/1 ; abo:G:0/2 ; abo:S:0/1,Bir
WAKFU,es,Abosotargado,abosotargado,tb_only,tb_filtered_base,True,True,False,False,False,Abosotargado,,,,,kept_neologism,,,
WAKFU,es,abosotargado,abosotargado,tb_only,tb_filtered_base,True,True,False,False,False,abosotargado,,,,,kept_neologism,,,
WAKFU,es,aboñigado,aboñigado,tb_only,tb_filtered_base,True,True,False,False,False,aboñigado,,,,,kept_neologism,,,
WAKFU,es,abra,abra,corpus_only,corpus_aff_form,True,False,True,False,False,Bre | Bro | bro,,,,,removed_known_word,dictionary_form,Bre:G:0/2 ; Bre:S:0/1 ; Bro:G:0/2 ; Bro:S:0/1 ; bro:G:0/2 ; bro:S:0/1,Bre | Bro | bro
WAKFU,es,Abra,abra,corpus_only,corpus_aff_form,True,False,True,False,False,Bre | Bro | bro,,,,,removed_known_word,dictionary_form,Bre:G:0/2 ; Bre:S:0/1 ; Bro:G:0/2 ; Bro:S:0/1 ; bro:G:0/2 ; bro:S:0/1,Bre | Bro | bro
WAKFU,es,Abrakapa,abrakapa,tb_only,tb_filtered_base,True,True,False,False,False,Abrakapa,,,,,kept_neologism,,,
WAKFU,es,abrakapa,abrakapa,tb_only,tb_filtered_base,True,True,False,False,False,abrakapa,,,,,kept_neologism,,,
WAKFU,es,abrakasco,abrakasco,tb_only,tb_filtered_base,True,True,False,False,False,abrakasco,,,,,kept_neologism,,,
WAKFU,es,Abrakasco,abrakasco,tb_only,tb_filtered_base,True,True,False,False,False,Abrakasco,,,,,kept_neologism,,,
WAKFU,es,abrakhancletas,abrakhancletas,tb_only,tb_filtered_base,True,True,False,False,False,abrakhancletas,,,,,kept_neologism,,,
WAKFU,es,Abrakhancletas,abrakhancletas,tb_only,tb_filtered_base,True,True,False,False,False,Abrakhancletas,,,,,kept_neologism,,,
WAKFU,es,abrakllota,abrakllota,tb_only,tb_filtered_base,True,True,False,False,False,abrakllota,,,,,kept_neologism,,,
WAKFU,es,Abrakllota,abrakllota,tb_only,tb_filtered_base,True,True,False,False,False,Abrakllota,,,,,kept_neologism,,,
WAKFU,es,Abraknación,abraknación,tb_only,tb_filtered_base,True,True,False,False,False,Abraknación,,,,,kept_neologism,,,
WAKFU,es,Abraknela,abraknela,tb_only,tb_filtered_base,True,True,False,False,False,Abraknela,,,,,kept_neologism,,,
WAKFU,es,abraknela,abraknela,tb_only,tb_filtered_base,True,True,False,False,False,abraknela,,,,,kept_neologism,,,
WAKFU,es,abraknicha,abraknicha,tb_only,tb_filtered_base,True,True,False,False,False,abraknicha,,,,,kept_neologism,,,
WAKFU,es,Abraknicha,abraknicha,tb_only,tb_filtered_base,True,True,False,False,False,Abraknicha,,,,,kept_neologism,,,
WAKFU,es,Abraknillo,abraknillo,tb_and_corpus,corpus_aff_form | tb_filtered_base,True,True,True,False,False,Abraknillo | Abrakno | abrakno,,,,,kept_neologism,,Abrakno:G:1/2 ; Abrakno:S:1/1 ; abrakno:G:1/2 ; abrakno:S:1/1,Abrakno | abrakno
WAKFU,es,abraknillo,abraknillo,tb_only,tb_filtered_base,True,True,False,False,False,abraknillo,,,,,kept_neologism,,,Abrakno | abrakno
WAKFU,es,abrakno,abrakno,tb_only,tb_filtered_base,True,True,False,False,False,abrakno,G | S,,G | S,G | S,kept_neologism,,abrakno:G:1/2 ; abrakno:S:1/1,
WAKFU,es,Abrakno,abrakno,tb_only,tb_filtered_base,True,True,False,False,False,Abrakno,G | S,,G | S,G | S,kept_neologism,,Abrakno:G:1/2 ; Abrakno:S:1/1,
WAKFU,es,Abraknolimpieza,abraknolimpieza,tb_only,tb_filtered_base,True,True,False,False,False,Abraknolimpieza,,,,,kept_neologism,,,
WAKFU,es,abraknydi,abraknydi,tb_only,tb_filtered_base,True,True,False,False,False,abraknydi,,,,,kept_neologism,,,
WAKFU,es,Abraknydi,abraknydi,tb_only,tb_filtered_base,True,True,False,False,False,Abraknydi,,,,,kept_neologism,,,
WAKFU,es,Abraknídea,abraknídea,tb_only,tb_filtered_base,True,True,False,False,False,Abraknídea,,,,,kept_neologism,,,
WAKFU,es,Abrakobama,abrakobama,tb_only,tb_filtered_base,True,True,False,False,False,Abrakobama,,,,,kept_neologism,,,
