token,token_lower,tb_key,status,match_type
1er,1er,,removed_known_word,dictionary_form
Abattage,abattage,,removed_known_word,dictionary_form
Abattement,abattement,,removed_known_word,dictionary_form
Abattre,abattre,,removed_known_word,dictionary_form
Abebeh,abebeh,item.3744.name,kept_neologism,
Abefun,abefun,item.4017.name,kept_neologism,
Abely,abely,npc.63.name,kept_neologism,
Abewolu,abewolu,item.5329.name,kept_neologism,
Abilité,abilité,item.775.name,kept_neologism,
Abipaca,abipaca,item.5828.name,kept_neologism,
Abir,abir,npc.464.name,kept_neologism,
Ablaru,ablaru,npc.964.name,kept_neologism,
Ablation,ablation,,removed_known_word,dictionary_form
Abnégation,abnégation,,removed_known_word,dictionary_form
Aboiement,aboiement,,removed_known_word,dictionary_form
Abolissement,abolissement,,removed_known_word,dictionary_form
Abominable,abominable,,removed_known_word,dictionary_form
Abomirol,abomirol,item.3561.name,kept_neologism,
Abordage,abordage,,removed_known_word,dictionary_form
Aboub,aboub,item.15137.name | monster.353.name | monster.355.name | monster.384.name | ttg_entity.384.name,kept_neologism,
Aboudbra,aboudbra,monster.2384.name,kept_neologism,
Abra,abra,item.8153.name | item.8165.name | item.8171.name | item.8175.name | item.8187.name | item.8318.name | item.8988.name | monster.817.name | npc.794.name,kept_neologism,
Abrabottes,abrabottes,item.2423.name,kept_neologism,
Abrabranche,abrabranche,spell.485.name,kept_neologism,
Abracapa,abracapa,item.2413.name | item.8464.name,kept_neologism,
Abracape,abracape,item.948.name,kept_neologism,
Abracaska,abracaska,item.2410.name | item.8463.name,kept_neologism,
Abragland,abragland,item.10664.name,kept_neologism,
Abrakadabra,abrakadabra,quest-step.445.name | quest-step.446.name,kept_neologism,
Abrakadnuzar,abrakadnuzar,monster.2385.name,kept_neologism,
Abrakanette,abrakanette,monster.2388.name,kept_neologism,
Abrakildas,abrakildas,monster.2389.name,kept_neologism,
Abrakine,abrakine,monster.2544.name,kept_neologism,
Abraklette,abraklette,monster.2386.name,kept_neologism,
Abrakleur,abrakleur,item.15397.name | item.15405.name | item.8784.name | item.8785.name | item.8796.name | item.8797.name | item.8822.name | item.8823.name | item.8834.name | item.8835.name | item.8869.name | item.8870.name | item.8871.name | monster.1047.name | monster.1077.name | ttg_entity.1047.name | ttg_entity.1077.name,kept_neologism,
Abraknassion,abraknassion,spell.482.name,kept_neologism,
Abrakne,abrakne,item.15172.name | item.15175.name | monster.650.name | monster.651.name | monster.992.name | ttg_entity.650.name | ttg_entity.651.name,kept_neologism,
Abraknyde,abraknyde,area.27.name | item.10259.name | item.10489.name | item.13103.name | item.13110.name | item.13159.name | item.15170.name | item.15174.name | item.15178.name | item.15462.name | item.1610.name | item.1611.name | item.1612.name | item.1660.name | item.1722.name | item.1985.name | item.434.name | item.435.name | item.436.name | item.437.name | item.462.name | item.464.name | item.469.name | item.501.name | item.6496.name | item.7086.name | item.7557.name | item.792.name | item.8449.name | item.8494.name | item.8495.name | item.8496.name | item.9009.name | item.923.name | item.927.name | monster.173.name | monster.253.name | monster.254.name | monster.2771.name | monster.2966.name | monster.47.name | monster.919.name | monster.989.name | monster.991.name | quest.79.name | ride_family.4.name | set.3.name | subarea.175.name | ttg_entity.173.name | ttg_entity.253.name | ttg_entity.2966.name | ttg_entity.47.name,kept_neologism,
Abraknydes,abraknydes,area.6.name | dungeon.19.name | hint.303.name | item.1567.name | subarea.168.name | subarea.169.name | subarea.33.name,kept_neologism,
Abraknydi,abraknydi,item.791.name,kept_neologism,
Abraknydiens,abraknydiens,item.14018.name | ttg_family.18.name,kept_neologism,
Abrakroc,abrakroc,monster.2309.name,kept_neologism,
Abramu,abramu,item.1619.name,kept_neologism,
Abranneau,abranneau,item.1559.name | item.1602.name | item.836.name,kept_neologism,
Abrarc,abrarc,item.1620.name,kept_neologism,
Abraton,abraton,item.2417.name | item.6454.name,kept_neologism,
Abrature,abrature,item.2429.name | item.8468.name,kept_neologism,
Abrazelon,abrazelon,npc.497.name,kept_neologism,
Abreuvoir,abreuvoir,,removed_known_word,dictionary_form
Abrinos,abrinos,monster.2381.name,kept_neologism,
Abrutissement,abrutissement,,removed_known_word,dictionary_form
Absorbante,absorbante,,removed_known_word,dictionary_form
Absorption,absorption,,removed_known_word,dictionary_form
Abyssal,abyssal,,removed_known_word,dictionary_form
Abysses,abysses,,removed_known_word,dictionary_form
Abîmes,abîmes,,removed_known_word,dictionary_form
Acabague,acabague,item.4559.name,kept_neologism,
Acaplut,acaplut,item.4664.name,kept_neologism,
Accord,accord,,removed_known_word,dictionary_form
Accorder,accorder,,removed_known_word,dictionary_form
Accouchement,accouchement,,removed_known_word,dictionary_form
Accéder,accéder,,removed_known_word,dictionary_form
Accéleration,accéleration,item.16667.name | spell.4082.name,kept_neologism,
Accélération,accélération,,removed_known_word,dictionary_form
Ace,ace,,removed_known_word,dictionary_form
Acebavec,acebavec,item.6109.name,kept_neologism,
Acebugu,acebugu,item.6234.name,kept_neologism,
Acehofa,acehofa,item.3675.name,kept_neologism,
Acero,acero,item.4952.name,kept_neologism,
Acharnement,acharnement,,removed_known_word,dictionary_form
Achesse,achesse,spell.1627.name,kept_neologism,
Acheter,acheter,,removed_known_word,dictionary_form
Acidrik,acidrik,npc.729.name | quest-step.215.name | quest-step.216.name | quest-step.217.name | quest.127.name,kept_neologism,
Acidulé,acidulé,,removed_known_word,dictionary_form
