game,language,token,token_lower,origin_class,lineage_tags,in_tb_tokens,tb_key,tb_source_entity,in_filtered_dic_base,is_corpus_form,is_ghost_form,is_casing_inferred,source_base_words,assigned_flags,mandatory_flags_assigned,validated_flags_assigned,validated_flags_candidates,filter_status,filter_match_type,flag_evidence_summary,step4_related_bases
TOUCH,fr,a-t-il,a-t-il,tb_only,tb_filtered_base,True,quest.89.name,quest:89,True,False,False,False,a-t-il,,,,,kept_neologism,,,
TOUCH,fr,A139E,a139e,tb_only,tb_filtered_base,True,object.19352.name,object:19352,True,False,False,False,A139E,,,,,kept_neologism,,,
TOUCH,fr,Aazimar,aazimar,tb_only,tb_filtered_base,True,npc.1967.name | quest.1247.name,npc:1967,True,False,False,False,Aazimar,,,,,kept_neologism,,,
TOUCH,fr,Abdhoul,abdhoul,tb_only,tb_filtered_base,True,npc.1259.name,npc:1259,True,False,False,False,Abdhoul,,,,,kept_neologism,,,
TOUCH,fr,Abdomen-pact,abdomen-pact,tb_only,tb_filtered_base,True,spell.7470.name,spell:7470,True,False,False,False,Abdomen-pact,,,,,kept_neologism,,,
TOUCH,fr,Abdominable,abdominable,tb_only,tb_filtered_base,True,object.12775.name,object:12775,True,False,False,False,Abdominable,,,,,kept_neologism,,,
TOUCH,fr,Abdomination,abdomination,tb_only,tb_filtered_base,True,spell.3492.name,spell:3492,True,False,False,False,Abdomination,,,,,kept_neologism,,,
TOUCH,fr,Abebeh,abebeh,tb_only,tb_filtered_base,True,object.3744.name,object:3744,True,False,False,False,Abebeh,,,,,kept_neologism,,,
TOUCH,fr,Abefun,abefun,tb_only,tb_filtered_base,True,object.4017.name,object:4017,True,False,False,False,Abefun,,,,,kept_neologism,,,
TOUCH,fr,Abely,abely,tb_only,tb_filtered_base,True,npc.63.name,npc:63,True,False,False,False,Abely,,,,,kept_neologism,,,
TOUCH,fr,Abewolu,abewolu,tb_only,tb_filtered_base,True,object.5329.name,object:5329,True,False,False,False,Abewolu,,,,,kept_neologism,,,
TOUCH,fr,Abilité,abilité,tb_only,tb_filtered_base,True,object.775.name,object:775,True,False,False,False,Abilité,,,,,kept_neologism,,,
TOUCH,fr,Abipaca,abipaca,tb_only,tb_filtered_base,True,object.5828.name,object:5828,True,False,False,False,Abipaca,,,,,kept_neologism,,,
TOUCH,fr,Abir,abir,tb_only,tb_filtered_base,True,npc.464.name,npc:464,True,False,False,False,Abir,,,,,kept_neologism,,,
TOUCH,fr,Ablaru,ablaru,tb_only,tb_filtered_base,True,npc.964.name,npc:964,True,False,False,False,Ablaru,,,,,kept_neologism,,,
TOUCH,fr,abominap,abominap,tb_only,tb_filtered_base,True,spell.2197.name,spell:2197,True,False,False,False,abominap,,,,,kept_neologism,,,
TOUCH,fr,Abominioble,abominioble,tb_only,tb_filtered_base,True,object.21907.name,object:21907,True,False,False,False,Abominioble,,,,,kept_neologism,,,
TOUCH,fr,Abomirol,abomirol,tb_only,tb_filtered_base,True,object.3561.name,object:3561,True,False,False,False,Abomirol,,,,,kept_neologism,,,
TOUCH,fr,Aboub,aboub,tb_only,tb_filtered_base,True,monster.384.name,monster:384,True,False,False,False,Aboub,,,,,kept_neologism,,,
TOUCH,fr,Aboudbra,aboudbra,tb_only,tb_filtered_base,True,monster.2384.name,monster:2384,True,False,False,False,Aboudbra,,,,,kept_neologism,,,
TOUCH,fr,Aboum,aboum,tb_only,tb_filtered_base,True,"achievement.objective.4071.name | achievement.objective.4423.name, achievement.1379.name, npc.4327.name, achievement.objective.4267.name | npc.1422.name | object.20201.name",achievement:objective,True,False,False,False,Aboum,,,,,kept_neologism,,,
TOUCH,fr,Abra,abra,tb_only,tb_filtered_base,True,document.136.title | monster.817.name | npc.794.name | object.14693.name | object.14701.name | object.8153.name | object.8165.name | object.8171.name | object.8175.name | object.8187.name | object.8318.name | object.8988.name,document:136,True,False,False,False,Abra,,,,,kept_neologism,,,
TOUCH,fr,Abrabottes,abrabottes,tb_only,tb_filtered_base,True,object.2423.name,object:2423,True,False,False,False,Abrabottes,,,,,kept_neologism,,,
TOUCH,fr,Abrabranche,abrabranche,tb_only,tb_filtered_base,True,spell.485.name,spell:485,True,False,False,False,Abrabranche,,,,,kept_neologism,,,
TOUCH,fr,Abracapa,abracapa,tb_only,tb_filtered_base,True,object.2413.name | object.8464.name,object:2413,True,False,False,False,Abracapa,,,,,kept_neologism,,,
TOUCH,fr,Abracape,abracape,tb_only,tb_filtered_base,True,object.948.name,object:948,True,False,False,False,Abracape,,,,,kept_neologism,,,
TOUCH,fr,Abracaska,abracaska,tb_only,tb_filtered_base,True,object.2410.name | object.8463.name,object:2410,True,False,False,False,Abracaska,,,,,kept_neologism,,,
TOUCH,fr,Abragland,abragland,tb_only,tb_filtered_base,True,object.10664.name,object:10664,True,False,False,False,Abragland,,,,,kept_neologism,,,
TOUCH,fr,Abrakadabra,abrakadabra,tb_only,tb_filtered_base,True,achievement.794.name | achievement.objective.2166.name,achievement:794,True,False,False,False,Abrakadabra,,,,,kept_neologism,,,
TOUCH,fr,Abrakadnuzar,abrakadnuzar,tb_only,tb_filtered_base,True,monster.2385.name,monster:2385,True,False,False,False,Abrakadnuzar,,,,,kept_neologism,,,
TOUCH,fr,Abrakanette,abrakanette,tb_only,tb_filtered_base,True,monster.2388.name,monster:2388,True,False,False,False,Abrakanette,,,,,kept_neologism,,,
TOUCH,fr,Abrakildas,abrakildas,tb_only,tb_filtered_base,True,monster.2389.name,monster:2389,True,False,False,False,Abrakildas,,,,,kept_neologism,,,
TOUCH,fr,Abrakine,abrakine,tb_only,tb_filtered_base,True,monster.2544.name,monster:2544,True,False,False,False,Abrakine,,,,,kept_neologism,,,
TOUCH,fr,Abraklette,abraklette,tb_only,tb_filtered_base,True,monster.2386.name,monster:2386,True,False,False,False,Abraklette,,,,,kept_neologism,,,
TOUCH,fr,Abrakleur,abrakleur,tb_only,tb_filtered_base,True,"achievement.objective.441.name, monster.1077.name | monster.1047.name, monster.4593.name, achievement.objective.431.name | object.8784.name | object.8797.name | object.8822.name | object.8823.name | object.8834.name | object.8835.name | object.8869.name | object.8870.name | object.8871.name",achievement:objective,True,False,False,False,Abrakleur,,,,,kept_neologism,,,
