game,language,token,token_lower,origin_class,lineage_tags,in_tb_tokens,tb_key,tb_source_entity,in_filtered_dic_base,is_corpus_form,is_ghost_form,is_casing_inferred,source_base_words,assigned_flags,mandatory_flags_assigned,validated_flags_assigned,validated_flags_candidates,filter_status,filter_match_type,flag_evidence_summary,step4_related_bases,source_games,source_reports_count,source_rows_merged,origin_classes,filter_statuses,filter_match_types
DOFUS,pt,1v1,1v1,tb_only,tb_filtered_base,True,,,True,False,False,False,1v1,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,pt,2X25,2x25,tb_only,tb_filtered_base,True,,,True,False,False,False,2X25,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,pt,3v3,3v3,tb_only,tb_filtered_base,True,,,True,False,False,False,3v3,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,pt,A-Gyō,a-gyō,tb_only,tb_filtered_base,True,,,True,False,False,False,A-Gyō,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,pt,A10,a10,tb_only,tb_filtered_base,True,,,True,False,False,False,A10,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,pt,A11,a11,tb_only,tb_filtered_base,True,,,True,False,False,False,A11,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,pt,A12,a12,tb_only,tb_filtered_base,True,,,True,False,False,False,A12,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,pt,A13,a13,tb_only,tb_filtered_base,True,,,True,False,False,False,A13,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,pt,A14,a14,tb_only,tb_filtered_base,True,,,True,False,False,False,A14,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,pt,A15,a15,tb_only,tb_filtered_base,True,,,True,False,False,False,A15,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,pt,A16,a16,tb_only,tb_filtered_base,True,,,True,False,False,False,A16,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
DOFUS,pt,A17,a17,tb_only,tb_filtered_base,True,,,True,False,False,False,A17,,,,,kept_neologism,,,,DOFUS,1,1,tb_only,kept_neologism,
